ID,Name,Parent ID,Level
R3921298,"Barishal",R184640,L2
R3824588,"Chattogram",R184640,L2
R3921322,"Dhaka",R184640,L2
R3825003,"Khulna",R184640,L2
R7318343,"Mymensingh",R184640,L2
R3859335,"Rajshahi",R184640,L2
R3921211,"Rangpur",R184640,L2
R3921222,"Sylhet",R184640,L2
R80300576,"Dhaka - North",R3921322,L3
R80300574,"Dhaka - South",R3921322,L3
R80300575,"Faridpur",R3921322,L3
R80300579,"Gazipur",R3921322,L3
R80300558,"Gopalganj",R3921322,L3
R4734867,"Keraniganj - Dhaka",R3921322,L3
R80300573,"Kishoreganj",R3921322,L3
R80300566,"Madaripur",R3921322,L3
R80300564,"Manikganj - Shibloya",R3921322,L3
R80300582,"Manikganj - Singair",R3921322,L3
R80300584,"Manikganj - Town",R3921322,L3
R80300572,"Munshiganj - Gajaria",R3921322,L3
R80300583,"Munshiganj - Lohajong",R3921322,L3
R80300585,"Munshiganj - Sirajdikhan",R3921322,L3
R80300557,"Munshiganj - Town",R3921322,L3
R80300559,"Narayanganj",R3921322,L3
R80300553,"Narsingdi",R3921322,L3
R80300561,"Nawabganj",R3921322,L3
R80300560,"Rajbari - Baliakandi",R3921322,L3
R80300562,"Rajbari - Pangsha",R3921322,L3
R80300571,"Rajbari - Town",R3921322,L3
R4730836,"Savar",R3921322,L3
R80300578,"Shariatpur - Naria",R3921322,L3
R80300580,"Shariatpur - Town",R3921322,L3
R80300567,"Tangail - Basail",R3921322,L3
R80300581,"Tangail - Bhuapur",R3921322,L3
R80300563,"Tangail - Deldur",R3921322,L3
RBD1478,"Tangail - Dhanbari",R3921322,L3
R80300568,"Tangail - Ghatail",R3921322,L3
R80300577,"Tangail - Gopalpur",R3921322,L3
R80300569,"Tangail - Kalihati",R3921322,L3
R80300556,"Tangail - Madhupur",R3921322,L3
R80300565,"Tangail - Mirzapur",R3921322,L3
R80300586,"Tangail - Nagarpur",R3921322,L3
R80300554,"Tangail - Sakhipur",R3921322,L3
R80300555,"Tangail - Town",R3921322,L3
R80314542,"Tongi",R3921322,L3
R80301288,"Alfadanga",R80300575,L4
R80315191,"Alipur",R80300575,L4
R80301284,"Ambikapur",R80300575,L4
R80315189,"Ambikapur Board Office",R80300575,L4
RBD899,"Atrashi Sadarpur",R80300575,L4
RBD993,"Bagat Bazar",R80300575,L4
R80315173,"Baitul Aman Housing Society",R80300575,L4
R80301285,"Baitulaman Politecni",R80300575,L4
R80315184,"Bakhunda",R80300575,L4
R80301289,"Bhanga",R80300575,L4
RBD1031,"Bhashanchar",R80300575,L4
RBD1039,"Bil Mamudpur",R80300575,L4
R80301283,"Boalmari",R80300575,L4
R80315200,"Bodorpur",R80300575,L4
R80315179,"C&B Ghat",R80300575,L4
RBD1122,"Charbhadrasan Upazila Faridpur",R80300575,L4
RBD1108,"Char Hazigonj Bazar",R80300575,L4
R80315193,"Chorkomlapur",R80300575,L4
R80315188,"Chunaghata",R80300575,L4
R80315177,"Dhuldi Bazar",R80300575,L4
R80315178,"Dhuldi Railgate",R80300575,L4
RBD1237,"Durgapur Faridpur",R80300575,L4
R80315182,"Engineering College",R80300575,L4
R80315175,"Faridpur New Bus Stand",R80300575,L4
RBD957,"Faridpur New Market",R80300575,L4
R80301286,"Faridpur Sadar",R80300575,L4
RBD1192,"Gojaria Bazar",R80300575,L4
RBD1231,"Goldangi Faridpur",R80300575,L4
RBD916,"Hat Krishnapur",R80300575,L4
R80315181,"Horishova",R80300575,L4
RBD839,"Hotath Bazar",R80300575,L4
RBD777,"Ishan Gopalpur",R80300575,L4
R80315171,"Jhiltuli",R80300575,L4
RBD875,"Kamarkhali",R80300575,L4
R80301287,"Kanaipur",R80300575,L4
RBD1206,"Kanaipur Bazar",R80300575,L4
RBD890,"Kanaipur Tetul Tala",R80300575,L4
R80315192,"Khabaspur",R80300575,L4
RBD847,"Khaleque Bazar",R80300575,L4
RBD921,"Khalilpur Bazar",R80300575,L4
RBD932,"Khusir Bazar Faridpur",R80300575,L4
R80315185,"Kobirpur",R80300575,L4
R80315194,"Komlapur",R80300575,L4
R80315176,"Komorpur",R80300575,L4
R80315186,"Krishi College",R80300575,L4
R80315195,"Laler Mor",R80300575,L4
RBD901,"Maligram Bhanga",R80300575,L4
RBD950,"Mamudpur",R80300575,L4
R80315187,"Medical",R80300575,L4
RBD1114,"Modhukhali Upozila Faridpur",R80300575,L4
RBD842,"Mohammadpur Bazar",R80300575,L4
R80315190,"Mohila Road",R80300575,L4
RBD1036,"Momin Khar Hat",R80300575,L4
R80315183,"Munshibazar",R80300575,L4
RBD1210,"Nagarkanda Upazila Faridpur",R80300575,L4
R80315172,"Niltuli",R80300575,L4
R80315174,"Old Bus Stand",R80300575,L4
R80315196,"Onather Mor",R80300575,L4
RBD783,"Peyarpur Bazar",R80300575,L4
RBD907,"Pirerchor Bhanga",R80300575,L4
RBD1135,"Poranpur Bazar Faridpur",R80300575,L4
R80315199,"Puran Gazi Bari",R80300575,L4
RBD1117,"Sadarpur Upazila Faridpur",R80300575,L4
RBD1063,"Sadipur Bazar",R80300575,L4
RBD1183,"Saltha Upazila Faridpur",R80300575,L4
R80315198,"Sovarampur",R80300575,L4
R80315197,"Station Bazar",R80300575,L4
RBD771,"Talma Bazar",R80300575,L4
R80315180,"Tepakhola",R80300575,L4
RBD1194,"Vai Vai Bazar",R80300575,L4
RBD886,"West Khabaspur Faridpur",R80300575,L4
